Vehicle Type,Pickup Location,Drop Location,Avg VTAT,alvo,hora,dia_semana,mes,periodo_dia,sem_vtat
Go Mini,Gurgaon Sector 29,Dilshad Garden,3.7,1,12,1,3,tarde,0
eBike,Jor Bagh,Golf Course Road,11.6,0,9,4,1,manha,0
eBike,Huda City Centre,Aya Nagar,2.6,1,1,4,5,madrugada,0
Go Sedan,Dilshad Garden,Subhash Nagar,11.4,1,21,0,5,noite,0
Go Sedan,Saket,Old Gurgaon,3.3,0,6,3,1,manha,0
Go Sedan,Basai Dhankot,Qutub Minar,4.7,1,22,2,6,noite,0
Go Sedan,Basai Dhankot,Mandi House,5.8,0,18,0,7,noite,0
Go Sedan,Jor Bagh,Sadar Bazar Gurgaon,8.0,0,17,1,11,tarde,0
Auto,Anand Vihar,IMT Manesar,11.3,1,21,4,4,noite,0
Bike,Ashram,Bhiwadi,11.1,0,22,3,2,noite,0
Go Sedan,Munirka,Sushant Lok,7.4,1,14,2,12,tarde,0
Go Sedan,Vishwavidyalaya,Bhikaji Cama Place,9.4,0,9,6,11,manha,0
Go Sedan,Tis Hazari,Arjangarh,9.3,1,12,3,12,tarde,0
Uber XL,Malviya Nagar,Sohna Road,6.0,1,22,5,3,noite,0
Go Mini,Nawada,Hero Honda Chowk,8.2,0,16,4,7,tarde,0
Premier Sedan,Qutub Minar,Ghitorni,7.2,0,19,1,12,noite,0
Bike,Munirka,Tis Hazari,13.5,1,21,3,8,noite,0
Go Sedan,Akshardham,IGNOU Road,4.9,1,18,0,3,noite,0
Bike,Udyog Vihar Phase 4,Greater Kailash,9.9,1,21,6,6,noite,0
Go Mini,Raj Nagar Extension,IMT Manesar,13.3,1,2,3,7,madrugada,0
Auto,Ghitorni,Noida Film City,2.0,0,23,3,3,madrugada,0
eBike,Akshardham,Keshav Puram,4.4,0,12,3,9,tarde,0
Go Sedan,Nawada,New Delhi Railway Station,8.8,1,20,6,9,noite,0
Auto,Lajpat Nagar,Shivaji Park,2.6,1,10,6,5,manha,0
Uber XL,Aya Nagar,Meerut,2.7,1,19,5,11,noite,0
Bike,Lok Kalyan Marg,Maidan Garhi,11.0,1,16,4,7,tarde,0
Auto,Nawada,Pulbangash,11.3,0,20,0,12,noite,0
Auto,Punjabi Bagh,Badshahpur,6.9,0,14,3,8,tarde,0
Go Sedan,Ramesh Nagar,Keshav Puram,5.1,1,22,6,9,noite,0
Go Sedan,Maidan Garhi,Sarai Kale Khan,11.1,1,18,3,5,noite,0
Premier Sedan,Greater Kailash,Green Park,6.3,1,7,3,12,manha,0
Go Sedan,Sarojini Nagar,Saidulajab,6.1,1,19,1,7,noite,0
Go Sedan,Satguru Ram Singh Marg,Kashmere Gate,3.9,0,16,4,6,tarde,0
Go Mini,Palam Vihar,Shahdara,7.3,1,20,5,1,noite,0
Bike,GTB Nagar,Palam Vihar,10.0,1,3,2,2,madrugada,0
Auto,Vatika Chowk,Pulbangash,9.3,0,18,4,4,noite,0
Auto,Cyber Hub,Mundka,10.5,1,8,6,3,manha,0
Go Mini,Adarsh Nagar,Rohini West,6.8,1,16,3,4,tarde,0
Go Mini,Golf Course Road,Bhikaji Cama Place,10.7,1,21,1,5,noite,0
Go Mini,IIT Delhi,Basai Dhankot,12.3,1,19,5,6,noite,0
eBike,Punjabi Bagh,Gurgaon Sector 56,3.8,1,20,4,6,noite,0
Go Sedan,Civil Lines Gurgaon,Moti Nagar,10.2,0,21,0,3,noite,0
Go Sedan,Udyog Vihar Phase 4,Anand Vihar ISBT,4.4,0,10,1,1,manha,0
Go Mini,Ghaziabad,Udyog Vihar,3.2,1,15,0,10,tarde,0
Auto,Narsinghpur,Maidan Garhi,13.4,1,10,1,2,manha,0
Auto,MG Road,GTB Nagar,9.8,1,7,2,12,manha,0
Auto,Panchsheel Park,Gwal Pahari,8.7,1,17,6,12,tarde,0
Go Sedan,Badarpur,Tis Hazari,11.7,1,21,5,8,noite,0
Auto,Gurgaon Sector 29,South Extension,4.5,1,8,2,9,manha,0
Go Mini,Dwarka Sector 21,Moolchand,9.6,1,8,1,10,manha,0
Auto,Greater Kailash,Raj Nagar Extension,14.2,1,6,6,6,manha,0
Go Mini,Pataudi Chowk,Meerut,6.5,0,9,6,12,manha,0
Premier Sedan,Bahadurgarh,Uttam Nagar,8.3,0,15,1,7,tarde,1
Bike,Gwal Pahari,Golf Course Road,5.8,1,4,5,9,madrugada,0
Bike,Punjabi Bagh,Ghitorni Village,8.3,0,6,4,7,manha,1
Auto,Tagore Garden,Narsinghpur,7.1,1,21,4,5,noite,0
Premier Sedan,Samaypur Badli,IGNOU Road,11.0,1,19,2,4,noite,0
Go Mini,AIIMS,Chandni Chowk,12.8,1,9,1,2,manha,0
Go Mini,Hero Honda Chowk,AIIMS,5.1,1,17,0,4,tarde,0
Auto,Delhi Gate,Gurgaon Sector 29,4.7,1,18,2,9,noite,0
Bike,Rohini West,Peeragarhi,11.2,0,18,0,7,noite,0
Go Sedan,Badarpur,Ambience Mall,12.9,1,15,1,6,tarde,0
Go Sedan,Mandi House,Rohini,4.2,1,14,1,12,tarde,0
Go Mini,Chanakyapuri,Munirka,8.3,0,10,5,7,manha,1
Go Mini,Mandi House,India Gate,5.2,1,2,5,7,madrugada,0
Auto,Delhi Gate,Chandni Chowk,16.9,0,11,4,6,manha,0
Go Sedan,Barakhamba Road,Ghaziabad,3.9,1,21,2,10,noite,0
Go Sedan,Jor Bagh,Azadpur,9.9,1,19,6,5,noite,0
Go Sedan,Khan Market,Green Park,10.0,1,16,6,2,tarde,0
Auto,Satguru Ram Singh Marg,Sikanderpur,8.3,0,14,2,8,tarde,1
Go Mini,Meerut,Vasant Kunj,10.2,0,10,3,3,manha,0
Go Sedan,Udyog Vihar Phase 4,Kalkaji,5.0,1,17,3,8,tarde,0
Go Sedan,RK Puram,Panipat,11.9,0,23,4,6,madrugada,0
Auto,GTB Nagar,Jasola,8.3,0,10,1,12,manha,1
Auto,Akshardham,Bahadurgarh,11.1,1,8,5,5,manha,0
Go Mini,Shivaji Park,Hauz Khas,11.2,1,9,3,2,manha,0
Auto,Jasola,Delhi Gate,13.5,1,21,6,3,noite,0
Uber XL,IMT Manesar,Lok Kalyan Marg,4.1,0,13,6,3,tarde,0
eBike,Gurgaon Sector 56,Pragati Maidan,9.3,0,13,5,10,tarde,0
Bike,Udyog Bhawan,Mundka,7.7,1,20,3,7,noite,0
Premier Sedan,Rajiv Chowk,Okhla,5.2,1,8,3,4,manha,0
Go Sedan,Badarpur,Vaishali,7.6,0,16,4,9,tarde,0
Bike,Panipat,New Colony,10.0,1,10,4,12,manha,0
Go Mini,Noida Film City,Kirti Nagar,8.3,0,11,3,7,manha,1
Auto,Vidhan Sabha,Kaushambi,4.4,1,15,2,9,tarde,0
Go Mini,AIIMS,Ashok Park Main,14.9,1,17,3,10,tarde,0
Go Sedan,Panchsheel Park,Sarai Kale Khan,8.4,1,8,5,6,manha,0
Go Mini,Udyog Bhawan,Civil Lines Gurgaon,11.8,0,5,2,12,manha,0
Auto,Keshav Puram,Mayur Vihar,5.8,1,8,3,7,manha,0
Bike,Pragati Maidan,Raj Nagar Extension,7.1,1,11,1,4,manha,0
Bike,Punjabi Bagh,Green Park,8.8,1,18,6,2,noite,0
Go Mini,Keshav Puram,Tughlakabad,13.6,1,14,6,4,tarde,0
Bike,Raj Nagar Extension,Moolchand,5.1,1,21,4,3,noite,0
Premier Sedan,Jhilmil,Malviya Nagar,11.4,1,7,6,4,manha,0
Auto,Saket A Block,Old Gurgaon,8.2,0,9,2,5,manha,0
Go Sedan,Central Secretariat,Janakpuri,10.8,0,18,4,1,noite,0
Auto,Noida Sector 18,Malviya Nagar,9.4,1,20,1,5,noite,0
Auto,Khan Market,New Delhi Railway Station,5.3,1,9,1,8,manha,0
Premier Sedan,ITO,Noida Film City,10.8,1,19,2,4,noite,0
Bike,India Gate,Shastri Nagar,5.2,1,12,6,4,tarde,0
Go Mini,Indraprastha,IGI Airport,14.3,1,19,6,9,noite,0
Go Mini,Jasola,Rohini,11.7,0,14,1,5,tarde,0
Go Sedan,Botanical Garden,Mansarovar Park,11.7,1,18,2,9,noite,0
Go Mini,Narsinghpur,Inderlok,10.1,0,21,5,7,noite,0
eBike,Janakpuri,Golf Course Road,9.2,1,16,0,10,tarde,0
eBike,Ashok Park Main,Lok Kalyan Marg,8.3,0,7,1,11,manha,1
Go Mini,Samaypur Badli,Ghitorni,4.4,1,17,3,6,tarde,0
Go Sedan,Laxmi Nagar,Pragati Maidan,4.3,1,19,5,3,noite,0
Bike,Lok Kalyan Marg,IGNOU Road,5.2,1,21,6,6,noite,0
Auto,Munirka,Pulbangash,13.6,1,11,5,4,manha,0
Go Sedan,Noida Sector 18,Tilak Nagar,10.1,1,3,4,8,madrugada,0
Go Mini,Gwal Pahari,Rohini East,12.0,0,20,3,11,noite,0
Auto,Connaught Place,Uttam Nagar,12.6,0,19,4,8,noite,0
Auto,Pitampura,Paschim Vihar,14.8,1,20,3,7,noite,0
Auto,Udyog Bhawan,Janakpuri,3.8,1,19,3,7,noite,0
Premier Sedan,Jahangirpuri,Indirapuram,2.9,0,18,5,8,noite,0
Go Sedan,Tughlakabad,Vidhan Sabha,8.6,0,18,6,2,noite,0
Go Mini,Anand Vihar,Gurgaon Sector 56,10.0,1,10,6,6,manha,0
Go Sedan,Vatika Chowk,Paharganj,7.8,1,21,0,7,noite,0
eBike,Central Secretariat,Sikanderpur,3.1,0,14,0,2,tarde,0
Go Sedan,Govindpuri,Kalkaji,8.5,1,16,2,2,tarde,0
Bike,Welcome,DLF Phase 3,2.3,1,1,4,12,madrugada,0
Premier Sedan,Preet Vihar,Mehrauli,3.6,0,16,4,12,tarde,0
Auto,Noida Extension,Old Gurgaon,12.9,1,18,0,5,noite,0
Go Mini,Kanhaiya Nagar,Satguru Ram Singh Marg,12.1,1,17,3,5,tarde,0
eBike,Seelampur,Udyog Bhawan,8.3,0,21,1,11,noite,1
Auto,Anand Vihar,Chirag Delhi,9.6,1,14,3,4,tarde,0
Auto,Mehrauli,Karol Bagh,8.1,1,20,1,11,noite,0
Go Sedan,Indirapuram,Noida Sector 62,5.6,1,20,1,6,noite,0
Auto,IGI Airport,Civil Lines Gurgaon,9.3,0,13,1,8,tarde,0
Bike,Saket,Noida Extension,8.8,0,11,2,12,manha,0
Go Mini,Basai Dhankot,Shivaji Park,2.6,1,11,6,6,manha,0
Go Mini,Huda City Centre,Hauz Rani,8.5,0,21,5,1,noite,0
Premier Sedan,Vatika Chowk,Saidulajab,12.8,1,11,2,4,manha,0
Go Sedan,Gurgaon Sector 29,Kherki Daula Toll,8.7,0,9,6,7,manha,0
Auto,Kalkaji,INA Market,8.8,0,8,6,8,manha,0
Go Mini,GTB Nagar,Kalkaji,5.2,1,15,0,8,tarde,0
Go Sedan,Rajiv Nagar,Meerut,13.2,1,12,4,8,tarde,0
Premier Sedan,Panchsheel Park,Yamuna Bank,2.3,1,1,3,3,madrugada,0
Auto,Sonipat,GTB Nagar,9.1,0,22,0,4,noite,0
Auto,Sadar Bazar Gurgaon,Chanakyapuri,14.2,1,13,0,5,tarde,0
Go Sedan,Netaji Subhash Place,Kashmere Gate ISBT,11.2,0,15,4,9,tarde,0
Premier Sedan,Lajpat Nagar,Rohini,12.4,1,6,5,5,manha,0
Auto,Indraprastha,Panipat,13.3,1,21,6,10,noite,0
Go Sedan,Panchsheel Park,Yamuna Bank,4.7,1,3,3,10,madrugada,0
Bike,Noida Sector 62,DLF City Court,14.5,1,6,1,5,manha,0
Go Mini,Badarpur,Botanical Garden,5.4,1,15,5,12,tarde,0
Auto,South Extension,Hauz Rani,8.1,0,16,0,11,tarde,0
Bike,Sikanderpur,INA Market,7.4,0,9,1,8,manha,0
Go Mini,Preet Vihar,Cyber Hub,11.5,1,22,2,5,noite,0
Go Mini,Kadarpur,Maidan Garhi,11.6,1,17,1,11,tarde,0
Premier Sedan,Malviya Nagar,Nehru Place,3.1,1,8,2,11,manha,0
Auto,Pitampura,Yamuna Bank,11.1,1,2,2,10,madrugada,0
Auto,Kalkaji,Sultanpur,2.6,1,18,5,4,noite,0
Auto,Anand Vihar ISBT,Hauz Khas,7.2,1,19,6,12,noite,0
Auto,Gurgaon Sector 29,Rajouri Garden,2.0,1,10,2,6,manha,0
Bike,Noida Film City,Jama Masjid,8.7,0,18,0,4,noite,0
Go Mini,Hero Honda Chowk,Satguru Ram Singh Marg,11.3,1,20,6,5,noite,0
Go Mini,Khan Market,AIIMS,2.7,1,9,3,10,manha,0
Auto,Jahangirpuri,Rajiv Nagar,4.8,1,1,1,7,madrugada,0
Auto,Chhatarpur,Vatika Chowk,4.4,1,2,2,10,madrugada,0
Bike,Dilshad Garden,Laxmi Nagar,8.0,1,13,2,11,tarde,0
Go Mini,Arjangarh,GTB Nagar,8.1,1,11,5,2,manha,0
Go Mini,Chirag Delhi,IGNOU Road,5.9,1,16,0,8,tarde,0
Go Sedan,Kashmere Gate ISBT,Jama Masjid,9.8,0,13,0,7,tarde,0
Go Mini,Civil Lines Gurgaon,Sarai Kale Khan,7.0,1,14,0,8,tarde,0
Auto,IGNOU Road,Tughlakabad,6.1,1,19,0,5,noite,0
Bike,Sultanpur,Netaji Subhash Place,9.6,1,15,2,2,tarde,0
Auto,Laxmi Nagar,Lok Kalyan Marg,13.3,0,13,1,3,tarde,0
Go Sedan,Dilshad Garden,Maidan Garhi,11.1,0,10,6,11,manha,0
Go Mini,South Extension,Sultanpur,5.2,1,17,0,6,tarde,0
Uber XL,Tis Hazari,Noida Film City,4.7,1,20,5,7,noite,0
Go Mini,Nawada,Ardee City,9.8,0,8,5,7,manha,0
eBike,Basai Dhankot,Chirag Delhi,10.3,1,2,1,1,madrugada,0
Go Mini,GTB Nagar,Ghitorni,10.8,1,16,3,5,tarde,0
Bike,Vatika Chowk,Inderlok,8.3,0,17,3,7,tarde,1
Auto,Meerut,Gurgaon Railway Station,11.6,1,9,3,5,manha,0
Bike,Mundka,Moolchand,7.4,1,21,6,2,noite,0
Premier Sedan,Netaji Subhash Place,Mayur Vihar,11.3,1,17,3,6,tarde,0
Go Mini,MG Road,Old Gurgaon,8.1,0,21,1,7,noite,0
